month_1,month_2,similarity
2023-05,2023-05,0.43401972088497204
2023-05,2023-06,0.45078868492472485
2023-05,2023-07,0.5399743995082742
2023-05,2023-08,0.4505466155431292
2023-05,2023-09,0.6102212206025444
2023-05,2023-10,0.5351789812440974
2023-05,2023-11,0.5356913131938481
2023-05,2023-12,0.5069726972487076
2023-05,2024-01,0.6097651053191581
2023-05,2024-02,0.5683447061417166
2023-05,2024-03,0.491246474894424
2023-05,2024-04,0.5134231014607494
2023-06,2023-06,0.3992421260757903
2023-06,2023-07,0.4184824086984582
2023-06,2023-08,0.42709232653472257
2023-06,2023-09,0.40897977130874474
2023-06,2023-10,0.6540863406615774
2023-06,2023-11,0.6302613303738993
2023-06,2023-12,0.5791862876663442
2023-06,2024-01,0.7126966868038741
2023-06,2024-02,0.669491573194215
2023-06,2024-03,0.6391086026321631
2023-06,2024-04,0.7078680591566598
2023-07,2023-07,0.4218013065363261
2023-07,2023-08,0.4575787501242149
2023-07,2023-09,0.5389551137401074
2023-07,2023-10,0.6778912256271241
2023-07,2023-11,0.6584142368935593
2023-07,2023-12,0.6949281078789706
2023-07,2024-01,0.7188122167869601
2023-07,2024-02,0.7262208592718115
2023-07,2024-03,0.6712030041382455
2023-07,2024-04,0.6989847889995725
2023-08,2023-08,0.39875399968439
2023-08,2023-09,0.3956839783225548
2023-08,2023-10,0.6787924443929222
2023-08,2023-11,0.673845380321128
2023-08,2023-12,0.6820418987130146
2023-08,2024-01,0.7127394350177132
2023-08,2024-02,0.740710456251704
2023-08,2024-03,0.7053719335803812
2023-08,2024-04,0.733223893072723
2023-09,2023-09,0.4172010925641664
2023-09,2023-10,0.577658538083025
2023-09,2023-11,0.6324233928099328
2023-09,2023-12,0.49608304604227044
2023-09,2024-01,0.6605580901741176
2023-09,2024-02,0.6805127541920858
2023-09,2024-03,0.5542831567005101
2023-09,2024-04,0.5830953355283176
2023-10,2023-10,0.6048507007715236
2023-10,2023-11,0.6268448291906613
2023-10,2023-12,0.5702498369443809
2023-10,2024-01,0.5099714742008201
2023-10,2024-02,0.49263220123569956
2023-10,2024-03,0.49745268211324944
2023-10,2024-04,0.4806924160157156
2023-11,2023-11,0.5479870778249947
2023-11,2023-12,0.6114429138186707
2023-11,2024-01,0.44049375735628443
2023-11,2024-02,0.4193233691210835
2023-11,2024-03,0.40331523567755506
2023-11,2024-04,0.4165055259911311
2023-12,2023-12,0.5453226846331914
2023-12,2024-01,0.4000362840678239
2023-12,2024-02,0.4005890975584738
2023-12,2024-03,0.3897722590758095
2023-12,2024-04,0.41493140062314354
2024-01,2024-01,0.5318867235888874
2024-01,2024-02,0.5678282113874734
2024-01,2024-03,0.5711830980117651
2024-01,2024-04,0.5560291056093389
2024-02,2024-02,0.5674651648591268
2024-02,2024-03,0.5558203858772215
2024-02,2024-04,0.5397787421214552
2024-03,2024-03,0.6044093193973736
2024-03,2024-04,0.5747374189767017
2024-04,2024-04,0.5847152414383855
