year_month,count,theme
2023-06-01,28,conflict_count
2023-07-01,32,conflict_count
2023-08-01,21,conflict_count
2023-09-01,9,conflict_count
2023-10-01,102,conflict_count
2023-11-01,91,conflict_count
2023-12-01,70,conflict_count
2024-01-01,53,conflict_count
2024-02-01,45,conflict_count
2024-03-01,29,conflict_count
2024-04-01,42,conflict_count
2023-06-01,3,humanitarian_count
2023-07-01,6,humanitarian_count
2023-10-01,52,humanitarian_count
2023-11-01,116,humanitarian_count
2023-12-01,70,humanitarian_count
2024-01-01,23,humanitarian_count
2024-02-01,32,humanitarian_count
2024-03-01,34,humanitarian_count
2024-04-01,18,humanitarian_count
